0, 0
1, 0
2, 20
2, 177
3, 40
3, 157
4, 81
4, 116
11, 27
11, 170
14, 13
14, 184
17, 94
17, 103
18, 62
18, 135
19, 39
19, 158
20, 10
20, 187
21, 93
21, 104
23, 18
23, 179
24, 73
24, 124
25, 49
25, 148
30, 93
30, 104
32, 25
32, 172
40, 59
40, 138
41, 18
41, 179
42, 34
42, 163
44, 6
44, 191
46, 13
46, 184
47, 96
47, 101
49, 42
49, 155
51, 77
51, 120
54, 91
54, 106
56, 69
56, 128
58, 40
58, 157
60, 15
60, 182
61, 31
61, 166
62, 68
62, 129
63, 42
63, 155
64, 55
64, 142
66, 91
66, 106
69, 89
69, 108
70, 97
70, 100
71, 65
71, 132
75, 90
75, 107
76, 56
76, 141
77, 91
77, 106
80, 36
80, 161
81, 53
81, 144
83, 73
83, 124
85, 42
85, 155
86, 60
86, 137
87, 47
87, 150
88, 54
88, 143
90, 73
90, 124
94, 23
94, 174
95, 85
95, 112
98, 5
98, 192
99, 70
99, 127
102, 8
102, 189
103, 72
103, 125
107, 37
107, 160
109, 32
109, 165
110, 67
110, 130
111, 52
111, 145
112, 3
112, 194
114, 37
114, 160
116, 46
116, 151
117, 87
117, 110
120, 92
120, 105
121, 4
121, 193
122, 78
122, 119
126, 75
126, 122
127, 21
127, 176
128, 64
128, 133
131, 92
131, 105
133, 18
133, 179
134, 3
134, 194
135, 33
135, 164
136, 40
136, 157
137, 13
137, 184
139, 31
139, 166
141, 19
141, 178
143, 92
143, 105
146, 93
146, 104
148, 3
148, 194
150, 35
150, 162
151, 15
151, 182
153, 84
153, 113
155, 82
155, 115
156, 55
156, 142
157, 38
157, 159
165, 44
165, 153
167, 77
167, 120
172, 95
172, 102
173, 37
173, 160
174, 55
174, 142
176, 77
176, 120
177, 57
177, 140
178, 45
178, 152
179, 80
179, 117
180, 63
180, 134
183, 15
183, 182
186, 16
186, 181
193, 48
193, 149
194, 31
194, 166
195, 83
195, 114
196, 0
